change_id,tags
4_change122,+Coupling|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
4_change121,-Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change120,+Size|MajorContributor
4_change119,+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change118,+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
4_change117,+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change116,+Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change115,+Coupling|+WordsInDiscussion|-WordsPerComment|MinorContributor
4_change114,-Cohesion|-Coupling|+Complexity|+Size|HighHunksCount|MajorContributor|ExtractionRefactoring
4_change113,+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change112,-Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MinorContributor
4_change111,+Cohesion|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change110,-Cohesion|-Coupling|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighHunksCount|MinorContributor
4_change109,+Cohesion|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change108,+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change107,+Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|MajorContributor
4_change106,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change105,-Cohesion|-Coupling|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|+Contributor|MinorContributor
4_change104,-Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MinorContributor
4_change103,-Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|MinorContributor
4_change102,+Coupling|-Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change101,+Cohesion|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|MinorContributor
4_change100,+Cohesion|-Coupling|+Size|HighHunksCount|MajorContributor
4_change99,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change98,+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change97,-Size|MinorContributor
4_change96,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|MajorContributor|RenameRefactoring
4_change95,+Cohesion|+Coupling|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|MajorContributor
4_change94,-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor
4_change93,+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change92,LowChangeSet|LowCodeChurn|MajorContributor
4_change91,-Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change90,-Cohesion|+Complexity|+Size|HighHunksCount|MajorContributor|ExtractionRefactoring
4_change89,+Cohesion|-Coupling|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor
4_change88,+Coupling|+Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change87,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
4_change86,+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change85,+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MinorContributor
4_change84,+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MinorContributor
4_change83,-Cohesion|+Coupling|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor|ExtractionRefactoring
4_change82,+Cohesion|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MinorContributor
4_change81,-Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change80,-Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change79,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change78,MajorContributor
4_change77,+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change76,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor|ExtractionRefactoring
4_change75,+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change74,+Coupling|-Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change73,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor|RenameRefactoring
4_change72,+Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change71,+Cohesion|-Size|HighCodeChurn|MajorContributor
4_change70,+Coupling|+Complexity|+Size|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
4_change69,+Coupling|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change68,+Cohesion|+Coupling|-Complexity|+Size|+Inheritance|+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
4_change67,+Coupling|+Size|LowCodeChurn|MajorContributor
4_change66,+Coupling|+Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change65,+Cohesion|+Complexity|+Size|+NumPullRequests|LowChangeSet|LowCodeChurn|MinorContributor
4_change64,+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change63,+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change62,+Size|+WordsInDiscussion|-WordsPerComment|MajorContributor
4_change61,+WordsInDiscussion|-WordsPerComment|MajorContributor|RenameRefactoring
4_change60,+Cohesion|-Coupling|-Complexity|-Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change59,HighHunksCount|HighCodeChurn|MajorContributor
4_change58,+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change57,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change56,-Complexity|-Size|HighChangeSet|HighHunksCount|MajorContributor
4_change55,+Cohesion|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighCodeChurn|MajorContributor
4_change54,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
4_change53,+Coupling|+WordsInDiscussion|-WordsPerComment|+Contributor|MinorContributor
4_change52,+Size|+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
4_change51,+Cohesion|-Complexity|+Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor|ExtractionRefactoring
4_change50,HighChangeSet|MajorContributor
4_change49,+Coupling|+Size|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
4_change48,-Coupling|-Size|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change47,HighChangeSet|HighHunksCount|HighCodeChurn|MajorContributor
4_change46,+Coupling|+WordsInDiscussion|+WordsPerComment|HighChangeSet|MajorContributor
4_change45,-Cohesion|+Complexity|+Size|+Inheritance|LowChangeSet|LowCodeChurn|MajorContributor
4_change44,-Coupling|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|HighCodeChurn|MajorContributor|ExtractionRefactoring
4_change43,+Coupling|+Size|+WordsInDiscussion|+WordsPerComment|LowCodeChurn|MajorContributor
4_change42,-Size|MajorContributor
4_change41,+Coupling|+Size|HighCodeChurn|MajorContributor
4_change40,MajorContributor
4_change39,-Coupling|-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor
4_change38,+Coupling|+Size|MajorContributor
4_change37,+Size|MajorContributor
4_change36,+Coupling|+Complexity|+Size|HighHunksCount|MajorContributor
4_change35,+Complexity|-Size|+WordsInDiscussion|+WordsPerComment|LowChangeSet|HighHunksCount|LowCodeChurn|+Contributor|MinorContributor|RenameRefactoring
4_change34,+Cohesion|+WordsInDiscussion|+WordsPerComment|LowChangeSet|LowCodeChurn|MinorContributor
4_change33,-Cohesion|+Coupling|+Size|LowCodeChurn|MajorContributor
4_change32,+Cohesion|-Coupling|-Size|LowCodeChurn|MajorContributor|RenameRefactoring
4_change31,+Coupling|+Complexity|+Size|+NumPullRequests|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change30,+Size|LowChangeSet|LowCodeChurn|MinorContributor|ExtractionRefactoring
4_change29,+Coupling|+Size|LowCodeChurn|+Contributor|MinorContributor
4_change28,+Size|LowCodeChurn|+Contributor|MinorContributor
4_change27,LowCodeChurn|MinorContributor
4_change26,-Complexity|-Size|LowChangeSet|LowCodeChurn|MinorContributor
4_change25,-Coupling|-Size|LowChangeSet|LowCodeChurn|MinorContributor
4_change24,+Complexity|+Size|+Contributor|MinorContributor|ExtractionRefactoring
4_change23,MinorContributor
4_change22,+Size|MinorContributor
4_change21,+Complexity|+Size|+Contributor|MinorContributor
4_change20,+Size|MinorContributor
4_change19,LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change18,LowChangeSet|LowCodeChurn|MinorContributor
4_change17,+Coupling|+Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
4_change16,-Cohesion|+Complexity|+Size|MajorContributor
4_change15,+Coupling|+Size|+NumPullRequests|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change14,+WordsInDiscussion|+WordsPerComment|+Contributor|MinorContributor
4_change13,HighHunksCount|MinorContributor
4_change12,+Coupling|-Complexity|+Size|HighHunksCount|HighCodeChurn|MajorContributor
4_change11,-Coupling|+Size|+WordsInDiscussion|-WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
4_change10,+Coupling|-Size|MinorContributor
4_change9,-Cohesion|-Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change8,-Coupling|HighChangeSet|MajorContributor
4_change7,-Cohesion|+Coupling|+Complexity|+Size|MajorContributor|ExtractionRefactoring
4_change6,+Size|MajorContributor|ExtractionRefactoring
4_change5,-Size|MajorContributor
4_change4,+Complexity|+Size|+NumPullRequests|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change3,-Size|LowChangeSet|LowCodeChurn|MajorContributor
4_change2,+Size|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
4_change1,-Coupling|MajorContributor
5_change3,+Coupling|+NumPullRequests|+WordsInDiscussion|+WordsPerComment|+Contributor|MajorContributor
5_change2,+NumPullRequests|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor|RenameRefactoring
5_change1,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|+Contributor|MinorContributor
6_change15,+NumPullRequests|+WordsInDiscussion|LowCodeChurn|+Contributor|MinorContributor
6_change14,+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|+Contributor|MajorContributor|ExtractionRefactoring
6_change13,+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
6_change12,-Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
6_change11,-Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor|ExtractionRefactoring
6_change10,+NumPullRequests|+WordsInDiscussion|LowCodeChurn|MajorContributor
6_change9,+WordsInDiscussion|HighChangeSet|LowHunksCount|HighCodeChurn|+Contributor|MinorContributor
6_change8,+Coupling|+WordsInDiscussion|MinorContributor
6_change7,-Coupling|-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
6_change6,-Coupling|+Complexity|-Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
6_change5,-Size|+WordsInDiscussion|+WordsPerComment|HighChangeSet|+Contributor|MinorContributor
6_change4,-Cohesion|+Size|LowChangeSet|LowCodeChurn|+Contributor|MinorContributor
6_change3,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
6_change2,HighChangeSet|MajorContributor
6_change1,-Cohesion|+Complexity|+Size|+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
7_change24,-Cohesion|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|MajorContributor
7_change23,-Cohesion|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|MajorContributor
7_change22,+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
7_change21,+Cohesion|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|HighHunksCount|+Contributor|MajorContributor
7_change20,+Cohesion|+Coupling|+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
7_change19,+NumPullRequests|+WordsInDiscussion|LowChangeSet|LowCodeChurn|MajorContributor
7_change18,+WordsInDiscussion|HighChangeSet|LowHunksCount|HighCodeChurn|+Contributor|MinorContributor
7_change17,+Coupling|+Size|+WordsInDiscussion|MinorContributor
7_change16,-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|HighCodeChurn|MajorContributor
7_change15,+Coupling|-Complexity|+Size|+WordsInDiscussion|+WordsPerComment|LowCodeChurn|+Contributor|MinorContributor
7_change14,+Coupling|+WordsInDiscussion|+WordsPerComment|HighChangeSet|+Contributor|MinorContributor
7_change13,-Cohesion|+Coupling|+Complexity|+Size|LowCodeChurn|MajorContributor
7_change12,-Cohesion|-Complexity|-Size|HighHunksCount|MajorContributor
7_change11,-Coupling|+Size|+WordsInDiscussion|-WordsPerComment|LowCodeChurn|MajorContributor
7_change10,+Coupling|+WordsInDiscussion|-WordsPerComment|LowChangeSet|LowCodeChurn|MajorContributor
7_change9,+Coupling|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighHunksCount|MajorContributor
7_change8,-Cohesion|-Coupling|-Complexity|-Size|+WordsInDiscussion|+WordsPerComment|MajorContributor
7_change7,+Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|MajorContributor
7_change6,-Cohesion|-Coupling|-Complexity|-Size|+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
7_change5,-Complexity|HighChangeSet|MajorContributor
7_change4,-Cohesion|+Coupling|+Complexity|+Size|LowChangeSet|LowCodeChurn|+Contributor|MajorContributor
7_change3,-Cohesion|+Coupling|+Complexity|+Size|HighHunksCount|MajorContributor
7_change2,+Complexity|+Size|+NumPullRequests|LowChangeSet|+Contributor|MajorContributor|ExtractionRefactoring
7_change1,+Size|LowChangeSet|MajorContributor
9_change2,-Coupling|+NumPullRequests|MajorContributor
9_change1,-Size|+Inheritance|+NumPullRequests|+Contributor|MajorContributor
10_change2,+Cohesion|+Complexity|+Size|+NumPullRequests|MajorContributor
10_change1,+Cohesion|+Complexity|+Size|+NumPullRequests|MajorContributor
11_change12,+Complexity|-Size|+NumPullRequests|+WordsInDiscussion|LowCodeChurn|+Contributor|MajorContributor
11_change11,+WordsInDiscussion|HighChangeSet|LowHunksCount|HighCodeChurn|+Contributor|MinorContributor
11_change10,+WordsInDiscussion|MinorContributor
11_change9,+WordsInDiscussion|+WordsPerComment|HighCodeChurn|MinorContributor
11_change8,-Size|-Inheritance|+WordsInDiscussion|-WordsPerComment|LowChangeSet|HighHunksCount|+Contributor|MajorContributor|RenameRefactoring
11_change7,-Coupling|+WordsInDiscussion|+WordsPerComment|HighChangeSet|MajorContributor
11_change6,MajorContributor
11_change5,+Coupling|HighCodeChurn|MinorContributor
11_change4,+WordsInDiscussion|-WordsPerComment|HighChangeSet|HighCodeChurn|MinorContributor
11_change3,+WordsInDiscussion|+WordsPerComment|MinorContributor
11_change2,-Cohesion|+Complexity|-Size|+WordsInDiscussion|+WordsPerComment|HighChangeSet|HighCodeChurn|MajorContributor
11_change1,+Size|+NumPullRequests|HighChangeSet|HighCodeChurn|+Contributor|MajorContributor
12_change55,-Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
12_change54,+Cohesion|+Coupling|+Complexity|+Size|+NumPullRequests|+WordsInDiscussion|LowChangeSet|HighHunksCount|LowCodeChurn|MajorContributor
