Items,Antecedent,Consequent,Support,Confidence,Lift
"-Size, MajorContributor, +NumPullRequests, HighCodeChurn","MajorContributor, +NumPullRequests, HighCodeChurn",-Size,0.010011123470522803,0.5192307692307692,2.167748273398428
"-Size, +NumPullRequests, MajorContributor, HighHunksCount","+NumPullRequests, MajorContributor, HighHunksCount",-Size,0.011123470522803115,0.4,1.6699690402476781
"HighChangeSet, +Size, +WordsInDiscussion, +WordsPerComment","+WordsPerComment, +WordsInDiscussion, HighChangeSet",+Size,0.01853911753800519,0.78125,2.701322115384615
"+Size, +WordsInDiscussion, +WordsPerComment, MajorContributor","+WordsPerComment, +WordsInDiscussion, MajorContributor",+Size,0.021134593993325918,0.5181818181818182,1.7917132867132866
"+Size, +WordsInDiscussion, +WordsPerComment, MinorContributor","+WordsPerComment, +WordsInDiscussion, MinorContributor",+Size,0.020763811642565813,0.5490196078431372,1.8983408748114627
"+Size, +WordsInDiscussion, HighChangeSet, MinorContributor","+WordsInDiscussion, HighChangeSet, MinorContributor",+Size,0.013718946978123842,0.8604651162790697,2.9752236135957064
"+Size, +WordsPerComment, HighChangeSet, MinorContributor","+WordsPerComment, HighChangeSet, MinorContributor",+Size,0.01260659992584353,0.85,2.9390384615384613
"+Size, LowChangeSet, MajorContributor, HighHunksCount","LowChangeSet, MajorContributor, HighHunksCount",+Size,0.017797552836484983,0.6233766233766234,2.1554445554445554
"+Size, LowCodeChurn, LowChangeSet, MajorContributor","LowCodeChurn, LowChangeSet, MajorContributor",+Size,0.03225806451612903,0.45077720207253885,1.5586488640892784
"+Size, LowCodeChurn, LowChangeSet, MinorContributor","LowCodeChurn, LowChangeSet, MinorContributor",+Size,0.014460511679644048,0.39,1.3485
"-Size, HighHunksCount, HighChangeSet, -Complexity","HighChangeSet, HighHunksCount","-Size, -Complexity",0.010752688172043012,0.30526315789473685,4.548589706309974
"-Size, HighHunksCount, HighCodeChurn, -Complexity","HighCodeChurn, HighHunksCount","-Size, -Complexity",0.017426770485724878,0.31125827814569534,4.637920310270389
"HighHunksCount, HighChangeSet, HighCodeChurn, -Complexity","HighChangeSet, HighCodeChurn, HighHunksCount",-Complexity,0.010011123470522803,0.3033707865168539,4.217479439360593
"HighHunksCount, HighChangeSet, MajorContributor, -Complexity","HighChangeSet, MajorContributor, HighHunksCount",-Complexity,0.010381905821282907,0.3111111111111111,4.325085910652922
"MajorContributor, HighHunksCount, HighCodeChurn, -Complexity","MajorContributor, HighCodeChurn, HighHunksCount",-Complexity,0.017797552836484983,0.32653061224489793,4.539448769198401
"-Size, -Coupling, HighChangeSet, HighHunksCount","HighChangeSet, HighHunksCount","-Size, -Coupling",0.012235817575083427,0.34736842105263155,3.012387882890506
"-Coupling, HighChangeSet, HighCodeChurn, HighHunksCount","HighChangeSet, HighCodeChurn, HighHunksCount",-Coupling,0.011123470522803115,0.33707865168539325,2.070845384044432
"-Coupling, HighChangeSet, MajorContributor, HighHunksCount","HighChangeSet, MajorContributor, HighHunksCount",-Coupling,0.011865035224323322,0.35555555555555557,2.184358390280942
"MajorContributor, -Coupling, HighCodeChurn, HighHunksCount","MajorContributor, HighCodeChurn, HighHunksCount",-Coupling,0.017797552836484983,0.32653061224489793,2.0060434196457626
"ExtractionRefactoring, -Size, MajorContributor, HighHunksCount","ExtractionRefactoring, MajorContributor, HighHunksCount",-Size,0.010011123470522803,0.5294117647058824,2.2102531415042797
"-Size, HighChangeSet, HighCodeChurn, HighHunksCount","HighChangeSet, HighCodeChurn, HighHunksCount",-Size,0.017426770485724878,0.5280898876404494,2.2047344070685635
"-Size, HighChangeSet, MajorContributor, HighHunksCount","HighChangeSet, MajorContributor, HighHunksCount",-Size,0.017797552836484983,0.5333333333333333,2.226625386996904
"MajorContributor, -Size, HighCodeChurn, HighHunksCount","MajorContributor, HighCodeChurn, HighHunksCount",-Size,0.02632554690396737,0.48299319727891155,2.0164592152650536
"+Size, MajorContributor, HighHunksCount, LowChangeSet, +Complexity","LowChangeSet, MajorContributor, HighHunksCount","+Size, +Complexity",0.011123470522803115,0.38961038961038963,5.741962955077709
"+Size, +Contributor, +WordsInDiscussion, +WordsPerComment, +NumPullRequests","+WordsPerComment, +Contributor, +NumPullRequests, +WordsInDiscussion",+Size,0.0192806822395254,0.6190476190476191,2.1404761904761904
"+Size, +Contributor, MinorContributor, +WordsInDiscussion, +NumPullRequests","+Contributor, +NumPullRequests, +WordsInDiscussion, MinorContributor",+Size,0.014831294030404153,0.5714285714285715,1.975824175824176
"+Size, +Contributor, MinorContributor, +WordsPerComment, +NumPullRequests","+Contributor, +NumPullRequests, +WordsPerComment, MinorContributor",+Size,0.012977382276603633,0.625,2.161057692307692
"+Size, +Contributor, +WordsInDiscussion, +WordsPerComment, HighChangeSet","+WordsPerComment, +Contributor, +WordsInDiscussion, HighChangeSet",+Size,0.01260659992584353,0.8947368421052632,3.0937246963562752
"+Size, +Contributor, MinorContributor, +WordsInDiscussion, +WordsPerComment","+WordsPerComment, +Contributor, +WordsInDiscussion, MinorContributor",+Size,0.0192806822395254,0.5977011494252874,2.0666666666666664
"+Size, +Contributor, MinorContributor, +WordsInDiscussion, HighChangeSet","+Contributor, +WordsInDiscussion, HighChangeSet, MinorContributor",+Size,0.013718946978123842,0.9024390243902439,3.120356472795497
"+Size, +Contributor, MinorContributor, +WordsPerComment, HighChangeSet","+Contributor, +WordsPerComment, HighChangeSet, MinorContributor",+Size,0.01260659992584353,0.8947368421052632,3.0937246963562752
"+Size, +Contributor, MinorContributor, LowChangeSet, LowCodeChurn","+Contributor, LowChangeSet, LowCodeChurn, MinorContributor",+Size,0.010011123470522803,0.39705882352941174,1.3729072398190043
"+Size, MajorContributor, +WordsInDiscussion, +Coupling, +WordsPerComment","+WordsPerComment, +WordsInDiscussion, MajorContributor","+Size, +Coupling",0.01260659992584353,0.3090909090909091,2.5969413763806286
"+Size, +WordsInDiscussion, +WordsPerComment, +NumPullRequests, HighChangeSet","+WordsPerComment, +NumPullRequests, +WordsInDiscussion, HighChangeSet",+Size,0.010752688172043012,0.9666666666666667,3.342435897435897
"+Size, MajorContributor, +WordsInDiscussion, +WordsPerComment, +NumPullRequests","+WordsPerComment, +NumPullRequests, +WordsInDiscussion, MajorContributor",+Size,0.014089729328883945,0.5428571428571428,1.8770329670329666
"+Size, MinorContributor, +WordsInDiscussion, +WordsPerComment, +NumPullRequests","+WordsPerComment, +NumPullRequests, +WordsInDiscussion, MinorContributor",+Size,0.014460511679644048,0.619047619047619,2.14047619047619
"+Size, MinorContributor, +WordsInDiscussion, +WordsPerComment, HighChangeSet","+WordsPerComment, +WordsInDiscussion, HighChangeSet, MinorContributor",+Size,0.01260659992584353,0.85,2.9390384615384613
"HighHunksCount, -Size, HighChangeSet, HighCodeChurn, -Complexity","HighChangeSet, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.010011123470522803,0.3033707865168539,4.52039232727047
"MajorContributor, HighHunksCount, -Size, HighChangeSet, -Complexity","HighChangeSet, MajorContributor, HighHunksCount","-Size, -Complexity",0.010381905821282907,0.3111111111111111,4.63572744014733
"MajorContributor, HighHunksCount, -Size, HighCodeChurn, -Complexity","MajorContributor, HighCodeChurn, HighHunksCount","-Size, -Complexity",0.017055988134964777,0.3129251700680272,4.6627579208478975
"HighHunksCount, -Coupling, -Size, HighChangeSet, HighCodeChurn","HighChangeSet, HighCodeChurn, HighHunksCount","-Size, -Coupling",0.010752688172043012,0.3258426966292135,2.8257162469742405
"MajorContributor, HighHunksCount, -Coupling, -Size, HighChangeSet","HighChangeSet, MajorContributor, HighHunksCount","-Size, -Coupling",0.011494252873563218,0.34444444444444444,2.987031082529475
"MajorContributor, HighHunksCount, -Coupling, HighChangeSet, HighCodeChurn","MajorContributor, HighChangeSet, HighCodeChurn, HighHunksCount",-Coupling,0.010752688172043012,0.3372093023255814,2.0716480372940618
"MajorContributor, HighHunksCount, -Size, HighChangeSet, HighCodeChurn","MajorContributor, HighChangeSet, HighCodeChurn, HighHunksCount",-Size,0.01668520578420467,0.5232558139534883,2.184552523579811
"+Size, +Contributor, MinorContributor, +WordsInDiscussion, +WordsPerComment, +NumPullRequests","+Contributor, MinorContributor, +WordsInDiscussion, +WordsPerComment, +NumPullRequests",+Size,0.012977382276603633,0.625,2.161057692307692
"+Size, +Contributor, MinorContributor, +WordsInDiscussion, +WordsPerComment, HighChangeSet","+Contributor, MinorContributor, +WordsInDiscussion, +WordsPerComment, HighChangeSet",+Size,0.01260659992584353,0.8947368421052632,3.0937246963562752
"MajorContributor, HighHunksCount, -Coupling, -Size, HighChangeSet, HighCodeChurn","MajorContributor, HighChangeSet, HighCodeChurn, HighHunksCount","-Size, -Coupling",0.010381905821282907,0.3255813953488372,2.823450235549241
