change_id,commit_hash,old_path,current_path,PercentLackOfCohesion,CountClassCoupled,MaxNesting,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,CountDeclMethod,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodDefault,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClassMethod,CountDeclClassVariable,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountClassBase,CountClassDerived,MaxInheritanceTree,TightClassCohesion,FANOUT,FANIN,LCOM2,LCOM3,ChangeSet,HunksCount,CodeChurn,ContributorCount,FileContributionPercentage,RefactoringCount,MoveRefactoringCount,ExtractionRefactoringCount,HierarchicalRefactoringCount,RenameRefactoringCount,num_pulls_classes,words_in_discussion_by_class,words_per_comment_by_class
223_change14,d9abee71f870d31d992402d2b855313987bf53ee,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,60.0,12.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,325.0,56.0,255.0,73.0,204.0,16.0,182.0,209.0,68.0,141.0,0.0,12.0,16.0,17.0,0.0,16.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,102.0,0.0,0.673202614379085,0.7152777777777778,8,1,61,6,0.81,82,0,8,0,14,0,1818,15.672413793103448
223_change15,98ae0fb92c9335ec17f8710376183e18f5edd355,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,60.0,13.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,325.0,56.0,255.0,73.0,204.0,16.0,182.0,209.0,68.0,141.0,0.0,12.0,16.0,17.0,0.0,16.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,102.0,0.0,0.673202614379085,0.7152777777777778,170,6,4199,6,0.81,82,0,8,0,14,0,1818,15.672413793103448
223_change16,3b44fa37675c1d68298283ae4b8b45cd5771888d,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,60.0,13.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,325.0,56.0,255.0,73.0,204.0,16.0,182.0,209.0,68.0,141.0,0.0,12.0,16.0,17.0,0.0,16.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7435897435897436,102.0,0.0,0.673202614379085,0.7152777777777778,12,4,260,6,0.81,82,0,8,0,14,0,1806,15.704347826086957
223_change17,c9a89876de476983f273edbf108c365127c18c5e,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/okhttp3/internal/http/RouteSelectorTest.java,62.0,13.0,2.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,316.0,56.0,246.0,70.0,198.0,16.0,180.0,205.0,65.0,140.0,0.0,12.0,16.0,17.0,0.0,15.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7307692307692307,105.0,0.0,0.6830065359477124,0.7256944444444444,242,1,2506,6,0.8,82,0,8,0,14,0,1804,15.824561403508772
223_change18,71ae4df298f42039579fd6e3c6d9d9060ac91214,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,62.0,13.0,2.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,316.0,56.0,246.0,70.0,198.0,16.0,180.0,205.0,65.0,140.0,0.0,12.0,16.0,17.0,0.0,15.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7307692307692307,105.0,0.0,0.6830065359477124,0.7256944444444444,10,1,60,6,0.02,82,0,8,0,14,0,1789,15.973214285714286
223_change19,c358656c8799d30fd422448153e99a5dd37e298a,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,62.0,13.0,2.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,316.0,56.0,246.0,70.0,198.0,16.0,180.0,205.0,65.0,140.0,0.0,12.0,16.0,17.0,0.0,15.0,2.0,13.0,0.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.7307692307692307,105.0,0.0,0.6830065359477124,0.7256944444444444,24,24,3137,6,0.79,82,0,8,0,14,0,1789,15.973214285714286
223_change20,38c6e610f13033bc40d0307c0a2f2e86a49564b9,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,60.0,17.0,2.0,7.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,342.0,59.0,269.0,73.0,217.0,18.0,190.0,215.0,68.0,147.0,0.0,15.0,16.0,17.0,0.0,17.0,2.0,14.0,1.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.8461538461538461,117.0,0.0,0.6582633053221288,0.6994047619047619,15,33,498,6,0.78,71,0,8,0,14,0,1782,16.054054054054053
223_change21,60f5406dcc094d0431420139bd002e8bdd4ea5d5,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,60.0,17.0,2.0,6.0,24.0,24.0,24.0,1.0,1.0,1.0,1.0,17.0,3.0,3.0,3.0,1.0,358.0,62.0,282.0,78.0,223.0,18.0,198.0,227.0,73.0,154.0,0.0,15.0,16.0,17.0,0.0,17.0,2.0,14.0,1.0,1.0,6.0,4.0,0.0,13.0,1.0,0.0,1.0,0.8461538461538461,77.0,0.0,0.6638655462184874,0.7053571428571428,22,26,1589,6,0.2,70,0,8,0,14,0,1779,16.172727272727272
223_change22,52454c61993e4d4376d429652104ae404503c3ad,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,62.0,17.0,2.0,6.0,26.0,26.0,26.0,1.0,1.0,1.0,1.0,19.0,3.0,3.0,3.0,1.0,419.0,66.0,338.0,85.0,275.0,19.0,220.0,251.0,80.0,171.0,0.0,15.0,18.0,19.0,0.0,18.0,2.0,15.0,0.0,1.0,6.0,4.0,0.0,15.0,1.0,0.0,1.0,0.8666666666666667,91.0,0.0,0.6791979949874687,0.716931216931217,3,64,280,6,0.2,69,0,8,0,14,0,1176,11.41747572815534
223_change23,0de100dc1ebef241a1d2afc6a544c8e65090217b,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,okhttp-tests/src/test/java/com/squareup/okhttp/internal/http/RouteSelectorTest.java,61.0,18.0,2.0,6.0,25.0,25.0,25.0,1.0,1.0,1.0,1.0,18.0,3.0,3.0,3.0,1.0,411.0,65.0,331.0,82.0,270.0,19.0,216.0,246.0,76.0,170.0,0.0,15.0,17.0,18.0,0.0,19.0,2.0,16.0,1.0,1.0,6.0,3.0,0.0,15.0,1.0,0.0,1.0,0.8666666666666667,92.0,0.0,0.6693121693121693,0.7086834733893558,5,4,104,6,0.83,57,0,7,0,13,0,1174,11.509803921568627
